onset	duration	eye	startTime	stopTime
179.124	0.178	R	3241812	3241988
179.876	0.108	L	3242564	3242670
179.872	0.114	R	3242560	3242672
180.594	0.08	L	3243282	3243360
180.59	0.1	R	3243278	3243376
182.526	0.194	L	3245214	3245406
182.522	0.21	R	3245210	3245418
183.71	0.124	L	3246398	3246520
183.708	0.134	R	3246396	3246528
184.706	0.088	R	3247394	3247480
186.16	0.196	L	3248848	3249042
186.114	0.258	R	3248802	3249058
186.816	0.334	L	3249504	3249836
186.812	0.356	R	3249500	3249854
188.936	0.046	L	3251624	3251668
188.924	0.058	R	3251612	3251668
189.814	0.596	L	3252502	3253096
189.804	0.624	R	3252492	3253114
191.184	0.05	L	3253872	3253920
191.174	0.158	R	3253862	3254018
192.988	0.076	R	3255676	3255750
192.978	0.112	L	3255666	3255776
193.66	0.178	L	3256348	3256524
193.656	0.238	R	3256344	3256580
194.512	0.07	L	3257200	3257268
194.508	0.09	R	3257196	3257284
195.402	0.04	L	3258090	3258128
195.754	0.602	R	3258442	3259042
196.496	0.438	R	3259184	3259620
197.34	0.194	L	3260028	3260220
197.328	0.22	R	3260016	3260234
198.478	0.054	L	3261166	3261218
198.474	0.064	R	3261162	3261224
199.776	0.068	L	3262464	3262530
199.782	0.062	R	3262470	3262530
200.806	0.096	L	3263494	3263588
200.8	0.11	R	3263488	3263596
201.404	0.072	L	3264092	3264162
201.398	0.086	R	3264086	3264170
202.21	0.072	L	3264898	3264968
202.202	0.088	R	3264890	3264976
203.394	0.106	R	3266082	3266186
203.378	0.15	L	3266066	3266214
204.748	0.228	L	3267436	3267662
204.75	0.246	R	3267438	3267682
205.654	0.098	L	3268342	3268438
205.646	0.118	R	3268334	3268450
206.562	0.122	L	3269250	3269370
206.556	0.13	R	3269244	3269372
207.546	0.058	L	3270234	3270290
207.54	0.086	R	3270228	3270312
208.436	0.132	L	3271124	3271254
208.42	0.164	R	3271108	3271270
209.042	0.096	L	3271730	3271824
209.042	0.116	R	3271730	3271844
209.74	0.09	R	3272428	3272516
209.744	0.096	L	3272432	3272526
210.33	0.108	L	3273018	3273124
210.308	0.158	R	3272996	3273152
211.56	0.052	R	3274248	3274298
211.56	0.078	L	3274248	3274324
212.268	0.074	L	3274956	3275028
212.268	0.082	R	3274956	3275036
212.832	0.164	L	3275520	3275682
212.826	0.198	R	3275514	3275710
213.698	0.086	L	3276386	3276470
213.688	0.104	R	3276376	3276478
214.596	0.092	L	3277284	3277374
214.592	0.102	R	3277280	3277380
215.098	0.094	R	3277786	3277878
215.1	0.098	L	3277788	3277884
215.97	0.136	R	3278658	3278792
215.97	0.138	L	3278658	3278794
217.536	0.062	R	3280224	3280284
217.534	0.07	L	3280222	3280290
218.106	0.076	R	3280794	3280868
218.112	0.076	L	3280800	3280874
219.848	0.11	R	3282536	3282644
219.852	0.11	L	3282540	3282648
220.388	0.23	L	3283076	3283304
220.38	0.25	R	3283068	3283316
221.836	0.086	R	3284524	3284608
221.844	0.082	L	3284532	3284612
223.234	0.038	L	3285922	3285958
223.242	0.1	R	3285930	3286028
223.638	0.15	L	3286326	3286474
223.638	0.172	R	3286326	3286496
224.662	0.174	L	3287350	3287522
224.654	0.196	R	3287342	3287536
226.164	0.598	R	3288852	3289448
227.742	0.066	L	3290430	3290494
227.74	0.08	R	3290428	3290506
228.628	0.598	R	3291316	3291912
229.984	0.506	R	3292672	3293176
230.628	0.47	R	3293316	3293784
231.422	0.146	L	3294110	3294254
231.41	0.17	R	3294098	3294266
232.548	0.14	L	3295236	3295374
232.546	0.146	R	3295234	3295378
233.134	0.184	L	3295822	3296004
233.136	0.19	R	3295824	3296012
233.89	0.046	L	3296578	3296622
234.926	0.13	L	3297614	3297742
234.924	0.136	R	3297612	3297746
235.544	0.038	L	3298232	3298268
236.352	0.098	L	3299040	3299136
236.354	0.1	R	3299042	3299140
237.58	0.6	R	3300268	3300866
238.318	0.238	R	3301006	3301242
239.214	0.182	L	3301902	3302082
239.214	0.212	R	3301902	3302112
239.972	0.122	L	3302660	3302780
239.976	0.126	R	3302664	3302788
240.65	0.076	L	3303338	3303412
240.652	0.08	R	3303340	3303418
241.966	0.056	R	3304654	3304708
241.952	0.082	L	3304640	3304720
243.042	0.072	R	3305730	3305800
243.038	0.078	L	3305726	3305802
243.654	0.112	L	3306342	3306452
243.656	0.148	R	3306344	3306490
244.354	0.088	R	3307042	3307128
244.138	0.312	L	3306826	3307136
245.768	0.062	R	3308456	3308516
245.754	0.09	L	3308442	3308530
246.626	0.322	L	3309314	3309634
246.618	0.34	R	3309306	3309644
247.686	0.074	L	3310374	3310446
247.686	0.084	R	3310374	3310456
248.572	0.012	L	3311260	3311270
248.572	0.068	R	3311260	3311326
250.33	0.206	L	3313018	3313222
250.33	0.28	R	3313018	3313296
250.884	0.182	R	3313572	3313752
250.886	0.182	L	3313574	3313754
251.882	0.064	L	3314570	3314632
251.878	0.068	R	3314566	3314632
253.424	0.132	R	3316112	3316242
253.412	0.166	L	3316100	3316264
254.62	0.076	L	3317308	3317382
254.612	0.09	R	3317300	3317388
255.172	0.126	L	3317860	3317984
255.166	0.142	R	3317854	3317994
255.804	0.09	L	3318492	3318580
255.812	0.14	R	3318500	3318638
256.644	0.07	L	3319332	3319400
256.636	0.092	R	3319324	3319414
257.082	0.106	L	3319770	3319874
257.08	0.114	R	3319768	3319880
258.01	0.098	R	3320698	3320794
258.016	0.096	L	3320704	3320798
258.458	0.08	L	3321146	3321224
258.464	0.136	R	3321152	3321286
258.938	0.09	L	3321626	3321714
258.952	0.078	R	3321640	3321716
259.414	0.066	L	3322102	3322166
259.422	0.11	R	3322110	3322218
259.726	0.002	R	3322414	3322414
259.722	0.024	L	3322410	3322432
259.952	0.048	R	3322640	3322686
259.938	0.072	L	3322626	3322696
261.114	0.178	L	3323802	3323978
261.106	0.212	R	3323794	3324004
261.742	0.156	R	3324430	3324584
261.746	0.156	L	3324434	3324588
262.43	0.108	R	3325118	3325224
262.424	0.12	L	3325112	3325230
263.298	0.106	L	3325986	3326090
263.292	0.14	R	3325980	3326118
265.214	0.154	L	3327902	3328054
265.218	0.152	R	3327906	3328056
266.116	0.16	L	3328804	3328962
266.118	0.16	R	3328806	3328964
267.026	0.088	L	3329714	3329800
267.026	0.09	R	3329714	3329802
267.78	0.074	R	3330468	3330540
267.782	0.074	L	3330470	3330542
268.336	0.07	R	3331024	3331092
268.34	0.068	L	3331028	3331094
269.014	0.074	R	3331702	3331774
269.014	0.078	L	3331702	3331778
269.836	0.136	R	3332524	3332658
269.838	0.136	L	3332526	3332660
270.538	0.1	R	3333226	3333324
270.54	0.1	L	3333228	3333326
271.31	0.072	L	3333998	3334068
271.31	0.156	R	3333998	3334152
272.908	0.144	L	3335596	3335738
272.908	0.146	R	3335596	3335740
273.63	0.146	R	3336318	3336462
273.624	0.162	L	3336312	3336472
274.212	0.164	L	3336900	3337062
274.232	0.182	R	3336920	3337100
276.038	0.116	R	3338726	3338840
276.026	0.136	L	3338714	3338848
277.058	0.042	R	3339746	3339786
277.048	0.062	L	3339736	3339796
277.812	0.128	L	3340500	3340626
277.798	0.166	R	3340486	3340650
278.786	0.058	L	3341474	3341530
278.778	0.088	R	3341466	3341552
279.386	0.62	R	3342074	3342692
280.144	0.504	R	3342832	3343334
281.046	0.21	L	3343734	3343942
281.046	0.216	R	3343734	3343948
281.662	0.19	R	3344350	3344538
281.664	0.234	L	3344352	3344584
282.59	0.05	L	3345278	3345326
282.592	0.058	R	3345280	3345336
283.386	0.03	L	3346074	3346102
283.38	0.128	R	3346068	3346194
284.506	0.188	L	3347194	3347380
284.514	0.21	R	3347202	3347410
285.31	0.072	R	3347998	3348068
285.32	0.068	L	3348008	3348074
285.738	0.156	L	3348426	3348580
285.726	0.17	R	3348414	3348582
286.614	0.268	L	3349302	3349568
286.612	0.276	R	3349300	3349574
289.402	0.132	L	3352090	3352220
289.396	0.14	R	3352084	3352222
290.34	0.102	L	3353028	3353128
290.34	0.102	R	3353028	3353128
291.27	0.114	L	3353958	3354070
291.282	0.102	R	3353970	3354070
292.642	0.064	L	3355330	3355392
292.634	0.094	R	3355322	3355414
293.166	0.072	L	3355854	3355924
293.16	0.096	R	3355848	3355942
294.332	0.078	L	3357020	3357096
294.332	0.116	R	3357020	3357134
295.208	0.13	L	3357896	3358024
295.208	0.132	R	3357896	3358026
295.982	0.012	L	3358670	3358680
295.976	0.066	R	3358664	3358728
296.502	0.104	L	3359190	3359292
296.494	0.136	R	3359182	3359316
297.174	0.066	L	3359862	3359926
297.162	0.078	R	3359850	3359926
297.852	0.044	R	3360540	3360582
297.852	0.058	L	3360540	3360596
298.524	0.134	L	3361212	3361344
298.524	0.15	R	3361212	3361360
299.43	0.088	L	3362118	3362204
299.424	0.116	R	3362112	3362226
301.312	0.05	L	3364000	3364048
301.312	0.066	R	3364000	3364064
302.188	0.134	L	3364876	3365008
302.188	0.166	R	3364876	3365040
303.512	0.198	L	3366200	3366396
303.5	0.226	R	3366188	3366412
304.184	0.476	L	3366872	3367346
304.182	0.498	R	3366870	3367366
305.39	0.078	L	3368078	3368154
305.368	0.136	R	3368056	3368190
306.194	0.204	R	3368882	3369084
331.452	0.194	L	3394140	3394332
331.46	0.19	R	3394148	3394336
332.24	0.114	R	3394928	3395040
332.232	0.124	L	3394920	3395042
333.386	0.174	L	3396074	3396246
333.394	0.168	R	3396082	3396248
334.262	0.114	R	3396950	3397062
334.256	0.126	L	3396944	3397068
334.958	0.134	L	3397646	3397778
334.96	0.132	R	3397648	3397778
335.608	0.108	R	3398296	3398402
335.604	0.114	L	3398292	3398404
