onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
195.573	0.2	984841	985076	BlankScreen	ANTI	30	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
195.808	1.0	985076	986076	ELCue	ANTI	30	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
197.223	2.0	986491	988528	ShowFixation	ANTI	31	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
199.26	0.2	988528	988763	BlankScreen	ANTI	31	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
199.495	1.0	988763	989763	ELCue	ANTI	31	2	False	red	600	[ 90 570 405 675]	[1350 1830  405  675]
200.91	2.0	990178	992215	ShowFixation	ANTI	32	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
202.948	0.2	992216	992450	BlankScreen	ANTI	32	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
203.182	1.0	992450	993450	ELCue	ANTI	32	2	False	red	180	[1035 1515  405  675]	[405 885 405 675]
204.6	2.0	993868	995902	ShowFixation	VGS	33	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
206.634	0.2	995902	996138	BlankScreen	VGS	33	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
206.87	1.0	996138	997138	ELCue	VGS	33	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
208.291	6.0	997559	1003590	ShowFixation	ANTI	34	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
214.322	0.2	1003590	1003829	BlankScreen	ANTI	34	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
214.561	1.0	1003829	1004829	ELCue	ANTI	34	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
215.966	6.0	1005234	1011264	ShowFixation	VGS	35	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
221.996	0.2	1011264	1011503	BlankScreen	VGS	35	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
222.235	1.0	1011503	1012503	ELCue	VGS	35	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
223.654	6.0	1012922	1018955	ShowFixation	VGS	36	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
229.687	0.2	1018955	1019194	BlankScreen	VGS	36	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
229.926	1.0	1019194	1020194	ELCue	VGS	36	2	False	lime	180	[405 885 405 675]	[1035 1515  405  675]
231.345	2.0	1020613	1022646	ShowFixation	VGS	37	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
233.378	0.2	1022646	1022881	BlankScreen	VGS	37	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
233.613	1.0	1022881	1023881	ELCue	VGS	37	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
235.038	2.0	1024306	1026333	ShowFixation	VGS	38	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
237.065	0.2	1026333	1026568	BlankScreen	VGS	38	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
237.3	1.0	1026568	1027568	ELCue	VGS	38	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
238.726	6.0	1027994	1034020	ShowFixation	VGS	39	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
244.752	0.2	1034020	1034259	BlankScreen	VGS	39	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
244.991	1.0	1034259	1035259	ELCue	VGS	39	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
246.41	6.0	1035678	1041710	ShowFixation	ANTI	40	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
252.442	0.2	1041710	1041950	BlankScreen	ANTI	40	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
252.682	1.0	1041950	1042950	ELCue	ANTI	40	2	False	red	40	[1350 1830  405  675]	[ 90 570 405 675]
254.106	6.0	1043374	1049401	ShowFixation	VGS	41	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
260.133	0.2	1049401	1049641	BlankScreen	VGS	41	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
260.373	1.0	1049641	1050641	ELCue	VGS	41	2	False	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
261.797	2.0	1051065	1053092	ShowFixation	VGS	42	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
263.824	0.2	1053092	1053328	BlankScreen	VGS	42	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
264.06	1.0	1053328	1054328	ELCue	VGS	42	2	False	lime	460	[1035 1515  405  675]	[405 885 405 675]
265.482	6.0	1054750	1060779	ShowFixation	VGS	43	2	False	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
